file_size,file_count,user,system,total
1k,1000,0.71,6.17,14.08 
1k,2000,1.48,13.21,28.65 
1k,4000,2.99,27.43,58.40 
1k,10000,6.36,75.85,161.98 
1k,20000,15.07,185.91,357.19 
1k,100000,86.32,2186.58,3089.25 
2k,1000,0.67,6.07,14.00 
2k,2000,1.54,13.04,29.11 
2k,4000,3.07,27.46,59.22 
2k,10000,6.84,74.48,157.18 
2k,20000,16.82,179.48,346.58 
2k,100000,87.10,1967.34,2864.42 
4k,1000,0.68,6.07,14.07 
4k,2000,1.50,13.19,28.76 
4k,4000,3.08,27.18,61.03 
4k,10000,7.10,73.73,157.41 
4k,20000,15.81,176.16,345.11 
4k,100000,28.28,424.38,754.85 
8k,1000,0.61,5.69,13.62 
8k,2000,1.43,13.25,28.44 
8k,4000,3.11,27.18,64.49 
8k,10000,6.73,74.35,159.19 
8k,20000,16.67,174.98,343.43 
8k,100000,82.56,1934.80,2914.42 
40k,1000,0.72,6.56,14.20 
40k,2000,1.47,13.34,29.00 
40k,4000,3.09,27.27,58.81 
40k,10000,6.93,74.35,159.42 
40k,20000,14.78,172.98,338.83 
40k,100000,88.16,2136.02,3203.58 
1M,1000,0.65,6.26,14.28 
1M,2000,1.46,13.10,29.07 
1M,4000,2.95,27.22,59.22 
1M,10000,7.14,74.40,161.15 
1M,20000,15.58,176.71,348.19 
1M,100000,83.22,1911.74,3034.84 
2M,1000,0.00,0.00,0.09 
2M,2000,0.00,0.00,0.01 
2M,4000,0.00,0.00,0.01 
2M,10000,0.00,0.00,0.01 
2M,20000,0.00,0.00,0.01 
2M,100000,0.00,0.00,0.01 
4M,1000,0.00,0.00,0.01 
4M,2000,0.00,0.00,0.01 
4M,4000,0.00,0.00,0.01 
4M,10000,0.00,0.00,0.01 
4M,20000,0.00,0.00,0.01 
4M,100000,0.00,0.00,0.01 
8M,1000,0.00,0.00,0.01 
8M,2000,0.00,0.01,0.01 
8M,4000,0.00,0.00,0.01 
8M,10000,0.00,0.00,0.01 
8M,20000,0.00,0.00,0.01 
8M,100000,0.00,0.00,0.01 
